frame_start,frame_stop,gesture,video,score,user
44,84,G12,Knot_Tying_B001,13,B
85,184,G13,Knot_Tying_B001,13,B
185,290,G13,Knot_Tying_B001,13,B
291,368,G14,Knot_Tying_B001,13,B
369,782,G15,Knot_Tying_B001,13,B
783,1258,G12,Knot_Tying_B001,13,B
1259,1328,G13,Knot_Tying_B001,13,B
1329,1486,G14,Knot_Tying_B001,13,B
1487,1625,G15,Knot_Tying_B001,13,B
1626,1734,G11,Knot_Tying_B001,13,B
36,158,G12,Knot_Tying_B002,9,B
159,253,G13,Knot_Tying_B002,9,B
254,308,G14,Knot_Tying_B002,9,B
309,658,G15,Knot_Tying_B002,9,B
659,815,G12,Knot_Tying_B002,9,B
816,1001,G13,Knot_Tying_B002,9,B
1002,1022,G14,Knot_Tying_B002,9,B
1023,1198,G15,Knot_Tying_B002,9,B
1199,1259,G11,Knot_Tying_B002,9,B
7,131,G12,Knot_Tying_B003,11,B
132,229,G13,Knot_Tying_B003,11,B
230,312,G14,Knot_Tying_B003,11,B
313,742,G15,Knot_Tying_B003,11,B
743,842,G12,Knot_Tying_B003,11,B
843,953,G13,Knot_Tying_B003,11,B
954,1106,G14,Knot_Tying_B003,11,B
1107,1285,G15,Knot_Tying_B003,11,B
1286,1354,G11,Knot_Tying_B003,11,B
54,317,G12,Knot_Tying_B004,8,B
318,584,G13,Knot_Tying_B004,8,B
585,644,G14,Knot_Tying_B004,8,B
645,807,G15,Knot_Tying_B004,8,B
808,1267,G12,Knot_Tying_B004,8,B
1268,1450,G13,Knot_Tying_B004,8,B
1451,1538,G14,Knot_Tying_B004,8,B
1539,1636,G15,Knot_Tying_B004,8,B
1789,1819,G11,Knot_Tying_B004,8,B
36,133,G12,Knot_Tying_C001,20,C
134,159,G13,Knot_Tying_C001,20,C
160,326,G14,Knot_Tying_C001,20,C
327,608,G15,Knot_Tying_C001,20,C
609,886,G12,Knot_Tying_C001,20,C
887,933,G13,Knot_Tying_C001,20,C
934,998,G14,Knot_Tying_C001,20,C
999,1138,G15,Knot_Tying_C001,20,C
1139,1226,G11,Knot_Tying_C001,20,C
27,81,G1,Knot_Tying_C002,22,C
82,182,G12,Knot_Tying_C002,22,C
183,210,G13,Knot_Tying_C002,22,C
211,258,G14,Knot_Tying_C002,22,C
259,383,G15,Knot_Tying_C002,22,C
384,632,G12,Knot_Tying_C002,22,C
633,675,G13,Knot_Tying_C002,22,C
676,735,G14,Knot_Tying_C002,22,C
736,848,G15,Knot_Tying_C002,22,C
849,999,G11,Knot_Tying_C002,22,C
0,60,G1,Knot_Tying_C003,18,C
61,184,G12,Knot_Tying_C003,18,C
185,220,G13,Knot_Tying_C003,18,C
221,269,G14,Knot_Tying_C003,18,C
270,439,G15,Knot_Tying_C003,18,C
440,515,G14,Knot_Tying_C003,18,C
516,637,G12,Knot_Tying_C003,18,C
638,675,G13,Knot_Tying_C003,18,C
676,733,G14,Knot_Tying_C003,18,C
734,942,G15,Knot_Tying_C003,18,C
943,1044,G11,Knot_Tying_C003,18,C
39,158,G1,Knot_Tying_C004,20,C
159,264,G12,Knot_Tying_C004,20,C
265,296,G13,Knot_Tying_C004,20,C
297,349,G14,Knot_Tying_C004,20,C
350,520,G15,Knot_Tying_C004,20,C
521,610,G14,Knot_Tying_C004,20,C
611,730,G12,Knot_Tying_C004,20,C
731,870,G13,Knot_Tying_C004,20,C
871,973,G14,Knot_Tying_C004,20,C
974,1188,G15,Knot_Tying_C004,20,C
1189,1299,G11,Knot_Tying_C004,20,C
19,91,G1,Knot_Tying_C005,20,C
92,200,G12,Knot_Tying_C005,20,C
201,243,G13,Knot_Tying_C005,20,C
244,438,G14,Knot_Tying_C005,20,C
439,600,G15,Knot_Tying_C005,20,C
601,637,G14,Knot_Tying_C005,20,C
638,784,G12,Knot_Tying_C005,20,C
785,826,G13,Knot_Tying_C005,20,C
827,869,G14,Knot_Tying_C005,20,C
870,981,G15,Knot_Tying_C005,20,C
982,1036,G11,Knot_Tying_C005,20,C
40,169,G1,Knot_Tying_D001,14,D
170,236,G12,Knot_Tying_D001,14,D
237,309,G13,Knot_Tying_D001,14,D
310,623,G14,Knot_Tying_D001,14,D
624,733,G15,Knot_Tying_D001,14,D
734,830,G14,Knot_Tying_D001,14,D
831,988,G12,Knot_Tying_D001,14,D
989,1119,G13,Knot_Tying_D001,14,D
1120,1173,G14,Knot_Tying_D001,14,D
1174,1275,G15,Knot_Tying_D001,14,D
1276,1347,G11,Knot_Tying_D001,14,D
20,104,G1,Knot_Tying_D002,16,D
105,220,G12,Knot_Tying_D002,16,D
221,292,G13,Knot_Tying_D002,16,D
293,409,G14,Knot_Tying_D002,16,D
410,552,G15,Knot_Tying_D002,16,D
553,633,G14,Knot_Tying_D002,16,D
634,798,G12,Knot_Tying_D002,16,D
799,893,G13,Knot_Tying_D002,16,D
894,1006,G14,Knot_Tying_D002,16,D
1007,1150,G15,Knot_Tying_D002,16,D
1151,1226,G11,Knot_Tying_D002,16,D
24,92,G1,Knot_Tying_D003,12,D
93,210,G12,Knot_Tying_D003,12,D
211,299,G13,Knot_Tying_D003,12,D
300,358,G14,Knot_Tying_D003,12,D
359,478,G15,Knot_Tying_D003,12,D
479,550,G14,Knot_Tying_D003,12,D
551,728,G12,Knot_Tying_D003,12,D
729,1011,G13,Knot_Tying_D003,12,D
1012,1059,G14,Knot_Tying_D003,12,D
1060,1150,G15,Knot_Tying_D003,12,D
1151,1219,G11,Knot_Tying_D003,12,D
27,108,G1,Knot_Tying_D004,19,D
109,215,G12,Knot_Tying_D004,19,D
216,261,G13,Knot_Tying_D004,19,D
262,312,G14,Knot_Tying_D004,19,D
313,410,G15,Knot_Tying_D004,19,D
411,487,G14,Knot_Tying_D004,19,D
488,609,G12,Knot_Tying_D004,19,D
610,685,G13,Knot_Tying_D004,19,D
686,764,G14,Knot_Tying_D004,19,D
765,858,G15,Knot_Tying_D004,19,D
859,935,G11,Knot_Tying_D004,19,D
19,82,G1,Knot_Tying_D005,18,D
83,222,G12,Knot_Tying_D005,18,D
223,308,G13,Knot_Tying_D005,18,D
309,384,G14,Knot_Tying_D005,18,D
385,529,G15,Knot_Tying_D005,18,D
530,593,G14,Knot_Tying_D005,18,D
594,702,G12,Knot_Tying_D005,18,D
703,771,G13,Knot_Tying_D005,18,D
772,859,G14,Knot_Tying_D005,18,D
860,1032,G15,Knot_Tying_D005,18,D
1033,1116,G11,Knot_Tying_D005,18,D
0,33,G12,Knot_Tying_F001,16,F
34,85,G13,Knot_Tying_F001,16,F
86,132,G14,Knot_Tying_F001,16,F
133,353,G15,Knot_Tying_F001,16,F
354,414,G14,Knot_Tying_F001,16,F
415,476,G12,Knot_Tying_F001,16,F
477,590,G13,Knot_Tying_F001,16,F
591,708,G14,Knot_Tying_F001,16,F
709,840,G15,Knot_Tying_F001,16,F
841,895,G11,Knot_Tying_F001,16,F
0,51,G12,Knot_Tying_F002,20,F
52,128,G13,Knot_Tying_F002,20,F
129,237,G14,Knot_Tying_F002,20,F
238,399,G15,Knot_Tying_F002,20,F
400,461,G14,Knot_Tying_F002,20,F
462,539,G12,Knot_Tying_F002,20,F
540,596,G13,Knot_Tying_F002,20,F
